empId,empName,shiftTiming,assignedLocation
40-8378014,Goran Sheran,16:11,
48-8780547,Rachel Luce,23:10,
71-4414687,Francois Oldknowe,06:16,Twinte
61455698,Neddy Grazier,02:07,N826DN
72-9623874,Kailey Gentreau,22:18,
04-2853363,Grata Gaddes,19:53,Quamba
22779520,Madelaine Inglese,12:25,Quamba
32-7609749,Charyl McAviy,07:14,N3KUAA
22-4447433,Kellsie Shankster,12:47,
31-4381804,Addy Hassur,20:44,N3KUAA
11-3436002,Claude Gillyatt,14:07,
17-9901354,Hobard Cattow,20:17,
26388288,Jackie De Michetti,09:01,Quamba
17-3653934,Peyton Renshall,03:58,Twinte
55-8724487,Salomo Lillee,07:55,N826DN
83-0603234,Norah Fenkel,08:26,Quamba
12-8664875,Catherin Eshmade,16:13,Quamba
73-3190220,Pippy Martyntsev,11:59,N3KUAA
89881773,Willow Marian,18:05,N3KUAA
98-9080673,Lane Jills,11:02,Quamba
81-9245933,Sorcha Hillen,17:54,Twinte
42-2273888,Napoleon Mawtus,07:24,
89534426,Rachael Greenalf,03:12,Quamba
67-3139133,Geoffrey Card,16:45,N3KUAA
06-0086525,Dory Brewett,16:55,Twinte
60-8284648,Roderich Romushkin,14:57,
76-8057269,Monte Llywarch,05:35,
01-2371540,Modestine Santer,14:54,N3KUAA
28-4392373,Sydelle Roswarne,08:32,Twinte
88-9610625,Morten Coode,15:40,N3KUAA
87-1615912,Gerik Hampstead,04:22,
38-8223868,Robinetta Merring,16:50,Quamba
80-4133707,Henry Pirozzi,19:07,Quamba
54-7987790,Trude Phil,13:38,
77785313,Jeannette Gerner,20:21,N3KUAA
25-0735377,Gavan Merrien,17:37,Quamba
54-9282103,Sherm Espadas,05:11,Quamba
89-1929345,Haroun Tomowicz,18:07,
64-8541226,Halley Beddall,22:13,Twinte
68505260,Gayelord Leaning,16:54,Quamba
09-0080059,Milly McWhan,03:45,Quamba
64937427,Shadow Deeves,20:39,Twinte
44-3204250,Cristina Cullon,21:46,Twinte
15-3376991,Meagan Pashley,16:36,Quamba
82-2768412,Simmonds Sharpin,23:08,
28-8246593,Barri Imos,05:07,
14-1714492,Ingar Moxsom,18:53,Twinte
21-9034597,Natalee Huxstep,17:47,N826DN
93-9803618,Jecho Dalziell,04:44,N826DN
22-3740103,Rosaleen Gasnoll,03:28,Twinte
83-7280163,Raynor Tellesson,05:14,
14-2874802,Early Pestell,21:53,N3KUAA
21-3957512,Laina Curson,16:18,
05-2021197,Shay Splain,20:23,N3KUAA
39-7567221,Boycey Meco,10:12,
30-7069430,Florinda Frenzel;,16:48,
09-8516370,Gilly Joan,18:51,N826DN
47-9560218,Abbie Lycett,01:47,Quamba
77-9381522,Penelopa Benedikt,23:29,Quamba
92-8332072,Marijo Wimlett,20:16,N3KUAA
41-8694609,Ada Medcalf,09:12,
27887678,Issie Cornehl,06:33,N826DN
60-8893156,Richie Normanvell,20:04,
31417622,Dulcie Brimilcombe,04:12,
51-4430945,Melisse Vasilyevski,17:00,N3KUAA
23-9750260,Virgie Lightewood,11:53,
42078878,Nancie Mariault,14:23,
43-0795670,Rozanna Schimann,22:57,Quamba
85-3576234,Irma Ledson,03:38,N3KUAA
14-7858821,Cecily Meharg,12:54,
90-1866046,Rodrigo Weathey,14:12,N826DN
60-4480602,Emery Campanelli,13:00,Quamba
62449863,Zacharias Searby,15:08,N3KUAA
72-3241284,Starlene Loudian,06:08,
24-2567917,Nady Doone,21:36,
06-2806637,Karina Peschka,16:18,Quamba
50-2096190,Goldi Clemmensen,21:10,Twinte
85-3619886,Gerhardine Surgeoner,16:49,N3KUAA
48754785,Fancie Speirs,16:46,N826DN
76-3471554,Veronica Dunderdale,15:22,N826DN
34-4469074,Rina Broader,19:45,Quamba
98-1253927,Kari Painten,02:32,N826DN
97102150,Zacharia Dyott,14:33,
28-8497660,Johanna Penn,06:52,N826DN
65-0943716,Gabrila Brigman,03:57,
95-2531346,Simonne Peverell,23:24,
64-2631191,Conny Rodders,01:12,Twinte
77-2726322,Thorny Benge,04:00,
39-8796344,Ilene Baggallay,14:44,
87-1479876,Carver Jonas,14:09,N3KUAA
55-4754338,Carla Sterrie,17:40,
11-4318763,Emory Cashman,07:22,
04-1998481,Nicky Kime,07:51,
43209497,Hanny Bennough,22:57,Twinte
92981195,Carlota Barnby,18:08,
22068366,Cassy Dunkinson,14:57,
69-3634241,Sheridan Oris,03:00,
37-1324016,Elaine Mandeville,12:31,Twinte
12-8535116,Eula Heiton,11:52,Quamba
21747600,Mattias Thomelin,20:56,
29-3269603,Carlota Linner,22:14,N3KUAA
94-4942292,Westbrook Viel,21:36,
70-1780743,Ulla Arnefield,09:18,Quamba
18099824,Maisie Chipp,05:04,
64-1087342,Harper Slym,12:03,
04-1464113,Wenona Sheer,10:57,
34923588,Elfreda Reidshaw,00:08,N3KUAA
93-2152784,Kipper Semechik,23:42,
98-8887859,Felice Cakes,21:50,
94-0481722,Charita McCarrell,14:41,
59-3554217,Sallyanne Halbeard,07:46,
80-3364286,Theressa Stode,23:57,Twinte
86-2372835,Zachariah Pickworth,17:47,
55-4857374,Chen Strelitzki,06:17,Twinte
66-2495099,Haily Perigeaux,10:22,
76-4404151,Evelyn Brokenshaw,06:55,
28-2902208,Gretta Loren,05:01,
25-3096884,Blair Capener,00:23,N3KUAA
74-8153874,Elihu Lichfield,07:28,N3KUAA
30-7312725,Kerk Satford,14:00,N826DN
67-0165457,Fredericka Peres,23:42,N3KUAA
97-0917722,Michele Cashley,06:33,
01-0145421,Milton Candlish,17:44,
16484779,Merilee McEttigen,12:59,Quamba
40-8351137,Sharlene Featherstonhalgh,05:21,
84-7289114,Alexis Gabites,08:06,N826DN
61998897,Mathew Symonds,07:26,Quamba
28-8932517,Cherish Guiraud,01:43,
77-4871257,Carry Blest,17:08,N826DN
67635479,Waldemar Daville,07:43,
80-4708201,Quintana Popov,16:29,
44333129,Magdalene Surby,16:45,N3KUAA
12-0309837,Lezlie Maidstone,01:00,N3KUAA
57-1437260,Marijn Wasiel,00:42,
56-2956370,Gunner Beirne,12:34,Quamba
48-8570960,Nevil Benfell,11:15,N826DN
11498547,Domeniga Brotherick,01:19,
89-7494398,Avigdor Coules,06:05,Quamba
77660971,Torey Emmer,19:09,
07-3161227,Carlee Wolfart,01:10,N3KUAA
86-2618940,Joana Fulton,23:41,Twinte
08-9618164,Fedora Clampett,15:05,
58-2515684,Ker Fawson,09:22,N826DN
48290045,Madison MacClinton,09:58,N826DN
41-1717025,Roley Swire,22:44,
12-9732992,Kenn Cleobury,07:53,Quamba
86-0988520,Vinita Shillito,00:35,
90590300,Lennie Wimes,20:52,
55-2139627,Patti Siflet,08:22,
80-8765404,Ossie Pieterick,06:03,
03-7894523,Zena Worrill,17:01,
32-0027542,Sammy Henker,20:02,
88-0521971,Leticia Millbank,22:06,N3KUAA
20028390,Stu MacAree,18:19,N826DN
17-3945314,Cthrine Eatock,20:19,Quamba
67-0586572,Reg Adlam,22:37,
87697539,Agata Pietzker,20:21,N826DN
45-8779544,Pammi Spikeings,02:18,N3KUAA
61-7901065,Cullen Deville,06:29,
29549996,Hayden Souley,02:29,Quamba
07-7303725,Robinet Lagadu,21:01,N3KUAA
82-7790665,Sari McJury,16:41,Quamba
99666251,Der De Rechter,09:20,Twinte
07-4717752,Donia Swinnerton,09:08,Quamba
84-0248735,Layla Rolfe,11:37,N826DN
25-1313485,Kiley Blanckley,07:20,N826DN
79-4547920,Thorvald Dankersley,19:05,N3KUAA
54622627,Abra Blackley,00:35,N826DN
22-0616572,Simonette Ledes,02:39,Quamba
79-9472944,Davidson Ruger,13:54,Twinte
62-9912433,Kristan Heersma,13:17,
94-8155113,Glenine Kauscher,18:19,N826DN
78-2167747,Shay Glyde,22:39,
74-7860018,Shane Nussen,13:47,
61292953,Karlik Garwood,00:20,Twinte
79110490,Myrle Du Hamel,04:46,
83-2226695,Feliza Golby,12:11,
45-9303225,Cherin Gason,21:03,N826DN
22-9450488,Cloris Swayne,03:23,Twinte
06-4403714,Josie Milborn,20:19,N3KUAA
93-4236610,Davine Southworth,12:07,
43-0530067,Onida Arenson,04:15,
49-7350286,Barth Rapelli,06:05,Quamba
85-3351432,Liam Foston,10:26,N3KUAA
40-7597948,Carl Janaway,13:31,Twinte
90-0326452,Goldia Risbridge,21:19,Quamba
67-1479395,Federico Porker,13:53,Twinte
27268592,Claudelle Galbraith,18:52,N826DN
79813897,Bellanca Jillitt,09:07,Quamba
17-4932694,Demetrius Kinnett,09:02,N826DN
65-2682395,Bradan Lissemore,04:09,Twinte
42-1684536,Valle Shillan,08:44,
5414928,Waylan MacMaykin,10:49,Twinte
91-4829463,Olly Verdon,03:49,N3KUAA
27-8850396,Kyla Jackman,05:31,Quamba
72688916,Ashbey O'Doherty,08:50,N3KUAA
59675073,Tomlin Tabram,02:23,N826DN
69-3357210,Lorelei Rehn,03:13,N3KUAA
38-4041532,Noe Skelhorn,08:34,Quamba
70-9203873,Ray Bucham,12:24,
63164792,Coraline Russel,22:00,Quamba
22-2566277,Raquel Swalwell,07:22,Twinte
67-4512819,Marsha Wein,00:22,
17-7564009,Mitchell Tongs,07:20,Twinte
93-4798428,Marwin Breagan,11:39,N826DN
49-9091988,Adelheid Olenchikov,19:18,N826DN
82-8568842,Davin Crepel,06:30,N826DN
30-9602083,Antonino Davenell,08:45,N3KUAA
48013986,Drucill Walby,11:03,Quamba
76-0924265,Karee Stansfield,18:17,Quamba
47143001,Luz Pedrocco,03:04,Quamba
15734409,Adler Bloan,23:03,N826DN
67-9082430,Stesha Ackrill,17:30,N3KUAA
29-1967910,Donnie Anan,06:38,N3KUAA
64807597,Emmeline O'Loinn,00:08,Quamba
61-1036847,Cleavland Mardlin,01:42,N3KUAA
44-2462975,Gena Cannavan,03:19,Quamba
74-7192227,Marv Olrenshaw,05:32,Twinte
6680757,Maryjane Tingley,16:24,N3KUAA
92-2110220,Inigo Carlile,14:51,N3KUAA
50-4060237,Silvan Tebbit,21:14,N3KUAA
65-0985363,Alika Schruyer,19:52,Twinte
20-4048398,Kay Reddan,12:47,Quamba
74-0234598,Iona Hatry,00:10,N3KUAA
58-9954909,Bettina Kernermann,17:21,N3KUAA
