empId,empName,shiftTiming,assignedLocation
94-5803191,Mandy Cheese,00:29,Security Clearance
76-8701653,Michele Casse,14:16,east Block
79-4591664,Woodrow Gurnett,15:09,Security Clearance
85-7792937,Bridie Beades,17:43,west Block
24-7301454,Emmanuel Kaes,15:39,east Block
92-7705715,Leanor Behrendsen,02:03,west Block
89-1968773,Glenda MacLaughlin,02:11,east Block
82-5187060,Loria Strangeways,09:10,South Block
47-4842326,Keir Dillicate,16:05,Security Clearance
93-0477975,Christabel Bull,08:28,Security Clearance
57-2656755,Martita Alenov,07:04,South Block
53-2089017,Deina Borrow,09:49,South Block
54-0392527,Mareah Banthorpe,19:46,east Block
79-6052405,Benny Kareman,06:21,east Block
56-6496916,Hurleigh Colbertson,12:43,east Block
40-8325655,Waverly Riddett,19:07,Immigration
33-6390123,Bil Behling,09:40,North Block
29-9983772,Germaine Sussems,14:53,North Block
30-1779236,Fonz Hartil,16:42,Immigration
95-9474394,Donny Vigurs,11:12,west Block
08-2815099,Lebbie O' Dornan,19:55,South Block
84-4186138,Zora Santore,21:04,Security Clearance
17-8885622,Lind Sodo,02:19,east Block
73-8359579,Luke Cranmere,04:26,east Block
05-1469805,Verene Hirschmann,08:41,Immigration
22-5541794,Valentin Iddons,04:39,Security Clearance
68-5593615,Marigold Scutts,06:41,east Block
53-8005692,Saloma Tebald,04:30,Security Clearance
04-9668461,Sayre Geary,14:13,Security Clearance
52-4928526,Elle Littleover,14:45,North Block
08-6563705,Jeramey Braams,21:25,Immigration
54-0136182,Cornelia McFarlane,20:07,Immigration
49-9016626,Evelyn Coutts,18:33,west Block
42-4234970,Upton Ailward,00:55,east Block
83-7338258,Dreddy Soal,21:50,Security Clearance
69-2581850,Lucinda Tondeur,13:54,west Block
13-2188689,Alisha MacSporran,21:38,South Block
66-9445128,Nolie Marris,04:59,North Block
60-3305943,Tori Thurstance,00:46,west Block
44-2159097,Sabrina Bacchus,07:23,west Block
32-1263188,Bax Marians,02:05,Security Clearance
53-9395469,Gerrie Haslegrave,21:09,North Block
79-1885695,Lottie Fendt,13:06,South Block
85-3575118,Lothario Corfield,02:10,east Block
78-8521929,Jeannette Mirams,18:19,Security Clearance
18-2238556,Helli Muckleston,17:37,east Block
40-3921311,Allina Le Marchant,05:22,west Block
93-3588223,Jodi Leser,03:11,North Block
52-7244183,Michale Canada,11:58,Immigration
96-3658550,Sybila Clift,21:24,Immigration
97-7949830,Analise Ovill,18:21,North Block
37-1361951,Agneta MacCall,05:06,North Block
44-6863380,Yancey Caldecutt,13:41,South Block
40-7859632,Mendie Willeman,22:21,Security Clearance
