empId,passengerId,checkDate,checkTime
94-5803191,108-80-6653,2021-02-12,1:11:54
76-8701653,103-68-7587,2021-02-11,19:47:26
79-4591664,714-32-4803,2021-02-16,23:10:27
85-7792937,301-66-9038,2021-02-16,11:03:25
24-7301454,494-02-0084,2021-02-18,1:51:52
92-7705715,587-86-4143,2021-02-12,15:40:31
89-1968773,872-76-1880,2021-02-09,8:05:16
82-5187060,505-88-4215,2021-02-07,17:18:13
47-4842326,157-30-7732,2021-02-08,18:01:36
93-0477975,635-75-0697,2021-02-07,20:35:30
57-2656755,834-96-3329,2021-02-07,11:40:03
53-2089017,784-51-5100,2021-02-18,18:37:35
54-0392527,805-81-3309,2021-02-10,4:09:57
79-6052405,400-42-9057,2021-02-15,19:01:06
56-6496916,557-18-3122,2021-02-20,14:10:29
40-8325655,829-53-8467,2021-02-10,6:58:16
33-6390123,512-08-2987,2021-02-08,2:16:31
29-9983772,507-23-6788,2021-02-10,16:12:23
30-1779236,801-44-4982,2021-02-18,16:15:28
95-9474394,185-75-0740,2021-02-20,18:05:58
08-2815099,706-90-7602,2021-02-15,22:32:13
84-4186138,357-93-4550,2021-02-14,0:07:25
17-8885622,716-01-5148,2021-02-11,1:20:12
73-8359579,322-45-3204,2021-02-19,2:53:44
05-1469805,175-06-6230,2021-02-14,11:37:45
22-5541794,538-05-6625,2021-02-13,14:06:37
68-5593615,371-33-3753,2021-02-07,8:11:06
53-8005692,158-86-7747,2021-02-11,8:25:15
04-9668461,486-76-7494,2021-02-14,20:10:53
52-4928526,820-02-5115,2021-02-15,12:00:28
08-6563705,886-50-9583,2021-02-07,3:01:37
54-0136182,222-25-5951,2021-02-16,5:10:52
49-9016626,819-59-8381,2021-02-14,12:23:46
42-4234970,807-05-4341,2021-02-18,11:19:04
83-7338258,831-40-8930,2021-02-19,6:05:57
69-2581850,683-27-6365,2021-02-17,9:28:13
13-2188689,392-65-3641,2021-02-20,15:06:18
66-9445128,816-51-0064,2021-02-19,15:41:52
60-3305943,271-13-4837,2021-02-16,1:37:11
44-2159097,614-39-7686,2021-02-17,23:16:18
32-1263188,222-67-7316,2021-02-14,10:03:23
53-9395469,817-30-3274,2021-02-20,2:59:37
79-1885695,604-58-8829,2021-02-17,14:28:24
85-3575118,218-62-9150,2021-02-15,17:40:41
78-8521929,736-13-5518,2021-02-19,11:15:03
18-2238556,171-82-6467,2021-02-14,11:23:35
40-3921311,740-63-6650,2021-02-14,9:41:43
93-3588223,781-40-4220,2021-02-07,0:54:08
52-7244183,190-67-5469,2021-02-13,11:55:45
96-3658550,859-53-1824,2021-02-20,13:14:56
97-7949830,564-87-1657,2021-02-20,15:38:41
37-1361951,662-97-2896,2021-02-10,3:17:28
44-6863380,349-45-4251,2021-02-20,0:13:12
40-7859632,135-01-9524,2021-02-14,15:10:56
17-1767768,518-98-7653,2021-02-13,5:56:27
06-1405903,436-42-0351,2021-02-13,20:04:57
60-0436777,379-52-5920,2021-02-07,10:13:25
00-9782491,750-93-9352,2021-02-10,1:50:50
74-5554803,892-11-8930,2021-02-13,15:07:00
53-5932552,245-43-0234,2021-02-15,5:18:30
84-5276557,893-83-3853,2021-02-20,17:05:03
23-7806277,123-66-6035,2021-02-19,14:10:29
01-1083267,797-32-1058,2021-02-08,22:39:14
73-7956668,418-11-5469,2021-02-12,10:21:35
46-5448887,177-32-7733,2021-02-12,21:19:41
43-9196162,781-16-1604,2021-02-15,18:44:16
93-3965265,656-30-1906,2021-02-13,2:56:18
04-6016647,819-82-4278,2021-02-08,12:21:53
56-1943337,779-99-4773,2021-02-14,6:34:54
47-7727829,515-61-3225,2021-02-09,10:25:48
92-4882710,565-52-0291,2021-02-11,8:02:31
09-5573624,371-05-7084,2021-02-15,7:35:41
61-3085715,758-63-2260,2021-02-19,16:22:25
13-2145192,794-43-0437,2021-02-20,4:18:31
84-2716111,585-64-5266,2021-02-20,4:23:52
75-7024225,403-79-4759,2021-02-12,11:31:52
24-0189726,434-14-1387,2021-02-16,13:46:12
70-5029919,436-44-1931,2021-02-13,14:22:31
58-6196819,318-03-9396,2021-02-17,13:09:25
87-3062383,667-33-4458,2021-02-14,2:21:45
26-0748252,302-33-4306,2021-02-11,9:09:31
37-9734524,194-84-7389,2021-02-20,17:52:38
46-9719629,341-86-0960,2021-02-09,21:53:18
22-3744940,455-45-8609,2021-02-09,15:59:41
34-1471985,141-92-3014,2021-02-19,15:24:16
43-6145839,580-89-4161,2021-02-08,8:05:05
76-6353299,107-48-6596,2021-02-13,20:43:30
17-5492061,897-01-2511,2021-02-11,10:00:45
32-5916260,746-49-8285,2021-02-18,12:40:39
43-5250879,485-90-1726,2021-02-07,0:44:13
78-8341095,863-80-6261,2021-02-14,4:00:10
90-7508116,194-41-8422,2021-02-19,17:45:50
70-7867288,504-27-4014,2021-02-16,19:56:23
37-4800621,645-08-7702,2021-02-19,18:26:53
01-1521031,534-58-2592,2021-02-15,22:43:32
80-0197261,178-79-9628,2021-02-07,16:39:18
97-1698379,707-83-8199,2021-02-15,3:06:52
95-1791318,627-78-9611,2021-02-10,19:24:40
35-9573886,877-67-2008,2021-02-16,3:16:28
84-8745092,756-66-8231,2021-02-19,22:57:01
24-4494573,459-25-4677,2021-02-12,13:13:45
54-7191013,808-91-2831,2021-02-09,16:58:18
49-3064894,435-63-2219,2021-02-11,0:48:23
84-8808640,717-22-2133,2021-02-13,7:44:30
98-9877771,430-13-9051,2021-02-09,4:12:33
14-2154772,100-30-9675,2021-02-09,19:10:00
66-8301695,650-07-5603,2021-02-07,22:28:59
01-8778495,640-87-8649,2021-02-16,19:54:35
58-1070461,332-68-4888,2021-02-16,15:54:17
31-3104734,653-05-5629,2021-02-13,2:49:20
11-7862929,423-20-7647,2021-02-19,4:31:03
22-0154224,711-82-0974,2021-02-14,10:36:26
83-1148499,784-18-0134,2021-02-16,15:57:34
70-5968187,172-43-9067,2021-02-19,14:11:09
02-4091174,725-79-9398,2021-02-11,20:24:30
11-7012039,639-14-1259,2021-02-15,16:06:30
93-0430208,389-85-4534,2021-02-17,19:11:24
68-2819922,709-21-6440,2021-02-10,13:35:02
39-8743562,665-63-3378,2021-02-19,6:14:33
53-5425550,555-53-5807,2021-02-12,10:08:40
86-7315713,404-15-1915,2021-02-20,3:33:52
80-6683108,168-84-0728,2021-02-16,1:45:55
36-8977027,834-06-9306,2021-02-17,5:14:52
03-1952207,754-41-4377,2021-02-19,22:18:44
36-4183796,397-20-4859,2021-02-12,3:52:35
91-4628814,104-04-2707,2021-02-20,19:31:11
07-6498619,537-91-9453,2021-02-11,20:41:10
53-3059909,713-71-2655,2021-02-08,14:49:25
64-3807424,429-04-2583,2021-02-10,11:17:14
73-4603815,383-26-0277,2021-02-08,17:12:42
26-5661870,107-10-3320,2021-02-07,18:34:18
95-5073711,719-36-2640,2021-02-14,12:54:30
45-6849657,445-19-2400,2021-02-15,20:55:55
45-4202335,539-92-3840,2021-02-11,7:31:50
43-5329006,589-70-1090,2021-02-14,3:39:29
35-6675291,441-66-4669,2021-02-07,11:48:59
57-1756586,322-08-0508,2021-02-19,15:46:00
