empId,passengerId,testDate,testTime,testResult
98-6490053,108-80-6653,2021-02-11,11:14:14,negative
50-3043773,103-68-7587,2021-02-20,7:01:01,negative
02-1291439,714-32-4803,2021-02-12,8:30:33,negative
09-4305064,301-66-9038,2021-02-12,7:38:52,negative
39-8680552,494-02-0084,2021-02-08,5:12:02,positive
50-4627123,587-86-4143,2021-02-16,5:03:13,positive
60-9732222,872-76-1880,2021-02-14,17:05:41,negative
62-0425832,505-88-4215,2021-02-13,5:22:28,negative
97-6678195,157-30-7732,2021-02-11,13:31:34,positive
06-3538938,635-75-0697,2021-02-12,22:22:11,negative
80-9175105,834-96-3329,2021-02-17,8:52:42,negative
50-8943056,784-51-5100,2021-02-10,16:22:22,positive
87-0384458,805-81-3309,2021-02-19,8:22:29,negative
75-0993051,400-42-9057,2021-02-11,23:43:03,negative
97-8850461,557-18-3122,2021-02-14,17:31:23,positive
57-2755153,829-53-8467,2021-02-15,13:27:53,positive
01-4051676,512-08-2987,2021-02-19,11:59:04,negative
77-8313727,507-23-6788,2021-02-13,13:37:45,negative
75-6524444,801-44-4982,2021-02-18,10:25:46,positive
24-5017835,185-75-0740,2021-02-18,22:36:14,positive
64-4020985,706-90-7602,2021-02-07,6:40:39,negative
13-4460294,357-93-4550,2021-02-09,2:17:59,negative
15-1491903,716-01-5148,2021-02-08,13:29:03,negative
14-2707588,322-45-3204,2021-02-17,22:28:20,positive
55-2757388,175-06-6230,2021-02-07,4:37:44,positive
09-1185247,538-05-6625,2021-02-17,7:03:38,negative
00-4959676,371-33-3753,2021-02-13,6:29:54,negative
32-6773511,158-86-7747,2021-02-07,2:55:15,positive
69-2593318,486-76-7494,2021-02-13,12:10:49,positive
69-2246473,820-02-5115,2021-02-08,15:26:17,positive
62-7629138,886-50-9583,2021-02-09,12:42:47,positive
54-8550772,222-25-5951,2021-02-16,2:40:03,positive
26-1159185,819-59-8381,2021-02-08,4:43:00,negative
51-0387134,807-05-4341,2021-02-11,21:11:48,negative
83-6864574,831-40-8930,2021-02-19,11:18:16,negative
