storeName,ownerName,contact,email,openTime,closeTime
Meetz,Otto Dimitriou,26-8374760,odimitriou0@usnews.com,14:16:19,22:02:32
Tambee,Avrit Masser,83-0173610,amasser1@cpanel.net,19:10:41,04:34:07
Twinte,Rosabelle Kuhnwald,42-9196780,rkuhnwald2@ed.gov,07:10:23,23:32:04
Riffpath,Teena Berens,34-7986734,,17:41:49,07:09:52
Brainlounge,Sampson Philliskirk,48-4175371,sphilliskirk4@guardian.co.uk,11:06:51,11:44:30
Voolith,Porty Empleton,12-1994842,pempleton5@slashdot.org,11:33:56,08:38:04
Oyoloo,Brandie Searsby,73-3251170,bsearsby6@t-online.de,14:06:25,18:32:54
Mydeo,Jessika Orrow,28-6601526,jorrow7@shareasale.com,22:06:20,11:36:26
Quamba,Rheba Triner,77-3799919,rtriner8@businesswire.com,21:53:18,08:24:39
Vidoo,Abel Forde,64-6304855,,11:34:29,11:52:38
Janyx,Aloysius McAusland,36-3967921,amcauslanda@wikimedia.org,01:10:04,03:08:58
Vinder,Hy Symondson,17-7726381,hsymondsonb@amazonaws.com,05:21:34,17:32:16
Browseblab,Milissent De Leek,35-0569648,mdec@va.gov,23:46:20,23:31:48
Fanoodle,Percy Hellwig,55-9157246,phellwigd@yandex.ru,00:36:26,03:51:39
Oyonder,Raffarty Coad,09-4195247,rcoade@parallels.com,22:21:29,08:39:25
Thoughtsphere,Melba MacMakin,76-8614286,mmacmakinf@google.cn,06:16:13,08:40:33
Photobug,Kirbee Baxster,29-1331888,kbaxsterg@amazon.de,09:59:44,22:11:47
Dabfeed,Jenni Bortolini,72-9718042,jbortolinih@census.gov,18:57:21,08:58:48
Fivespan,Dael Tiner,37-7380630,dtineri@shop-pro.jp,13:40:14,08:54:20
Topicstorm,Eadmund Lohering,78-4286685,eloheringj@eepurl.com,12:02:40,06:17:32
Yodoo,Cinderella Mularkey,57-0328014,cmularkeyk@ihg.com,07:39:18,15:04:19
