flightId,passengerId
N504AA,635-75-0697
N3BFAA,306-89-1409
N464AS,781-16-1604
N12921,821-80-5156
N612AS,672-10-2385
N3ERAA,371-05-7084
N3730B,789-88-8394
N14998,311-69-4285
N221WN,473-12-8892
N820SK,894-47-4970
N531JB,477-17-4294
N15986,461-53-2979
N3ERAA,423-90-5414
N602MQ,504-05-9446
N825AW,679-30-7694
N933EV,823-96-2225
,151-90-2827
N7745A,151-90-2827
N69810,702-96-4574
N4XJAA,507-86-7135
N480HA,162-63-1147
N118SY,246-90-9690
N4XPAA,103-68-7587
N21129,776-81-9053
N995AT,216-96-5863
N48901,258-39-1201
N231JB,235-89-9460
N320AS,198-36-8718
N174US,791-32-6929
N640AW,386-30-2326
N355JB,171-82-6467
N508AY,752-06-7432
N14179,415-88-3711
N963DN,659-71-4493
N557AA,236-23-0825
N8982A,493-51-8756
N3LAAA,462-41-3749
N622AS,341-86-0960
N622AS,649-06-8559
N11140,374-94-8493
N482UA,162-63-1147
N404UA,868-46-8360
N429UA,816-40-5759
N373JB,563-53-9381
N966DL,616-61-7569
N411UA,497-36-1226
N618JB,423-20-7647
N163US,738-39-4343
N846AS,756-21-3351
N292SW,892-11-8930
N3736C,119-92-7673
N318JB,745-43-8193
N3EWAA,886-78-0750
N12996,415-70-0083
N905DA,604-58-8829
N66837,428-13-8734
N4XJAA,232-61-6632
N524UW,650-07-5603
N38451,553-87-4601
N507CA,522-09-6285
N5EKAA,400-42-9057
N660MQ,768-95-8192
N8315C,222-67-7316
N612MQ,450-05-7272
N8302F,393-60-8574
N459AS,863-80-6261
N7745A,406-54-4350
N361VA,277-68-2713
N77066,473-12-8892
N760JB,585-64-5266
N958SW,273-98-4499
N519AS,774-32-7567
N528NK,552-32-3415
N562SW,645-08-7702
N838AS,339-13-2850
N826AW,725-79-9398
N434UA,118-63-5349
N926SW,869-72-9651
N4XKAA,741-04-0328
N932FR,234-31-8470
N301YV,761-68-5861
N375JB,580-89-7487
N7707C,458-31-0961
N561SW,284-29-7357
N7736A,335-44-4764
N76519,508-29-3632
N732US,559-71-4321
N14204,366-76-6806
N905MQ,328-62-8311
N407AS,869-99-2555
N618MQ,564-87-1657
N652BR,462-37-4217
N635MQ,306-91-2420
N660MQ,608-27-0002
N249WN,311-37-7873
N404UA,288-50-6583
N605NK,355-69-1351
N975DL,135-31-3210
N4YNAA,541-40-4423
N8317M,733-14-7641
N719SK,382-07-1152
N439AA,170-98-2263
N476HA,111-86-7400
N918FR,690-89-4716
N476HA,396-44-7774
N3CXAA,331-37-3728
N355NW,718-57-1402
N399DA,890-10-6335
N485HA,833-96-0460
N415UA,311-69-4285
N423WN,737-28-9057
N642WN,735-53-3282
N568SW,507-23-6788
N571AA,442-37-9818
N221FR,172-73-5334
N118SY,557-95-7758
N632NK,550-33-5993
N651MQ,781-15-4149
N763JB,702-96-4574
N37293,636-51-7433
N407AS,226-97-5641
N653MQ,521-29-2713
N275WN,532-23-3990
N905FR,329-40-2301
N886AS,718-57-1402
N553AA,134-05-5918
N174US,754-56-7805
N776SK,411-84-4218
N607AS,179-14-5137
N732US,298-05-3802
N816UA,677-85-0722
N401UA,553-87-4601
N961SW,486-76-7494
N769AS,737-28-9057
N3748Y,515-61-3225
N649MQ,366-76-6806
N842VA,720-38-5912
N832UA,209-09-4691
N323NB,224-28-9515
N68452,844-51-2614
N3LJAA,484-16-5688
N568SW,736-26-2030
N24212,280-74-5549
N490UA,608-06-0995
N553AA,480-85-9936
N14153,343-38-9684
N653JB,808-52-1135
N13970,138-48-7224
N3JNAA,277-68-2713
N554NW,397-78-1736
N12921,326-99-9078
N3CXAA,790-97-6709
N990AT,599-82-6105
N746SK,235-89-9460
N589NW,616-47-7883
N570JB,504-27-4014
N932DN,341-86-0960
N87531,537-91-9453
N3BEAA,616-26-7996
N842VA,262-14-4262
N609MQ,234-90-1217
N8302F,582-34-0140
N737JW,397-78-1736
N434UA,529-30-7135
N184JB,784-83-6646
N3KCAA,130-74-3596
N601NK,108-85-8966
N274JB,612-02-3783
N373JB,749-73-9392
N765US,776-81-9053
N7745A,842-97-3494
N612MQ,507-23-6788
N742SW,226-80-4300
N76517,749-73-9392
N917SW,429-04-2583
N37471,142-45-4364
N608NK,833-91-1999
N14568,437-98-9387
N723TW,364-43-0266
N3751B,725-79-9398
N766JB,834-96-3329
N640AW,297-50-9542
N937SW,808-91-2831
N3759,423-20-7647
N905MQ,194-84-7389
N924FR,108-85-8966
N976SW,720-41-8792
N497WN,107-35-7458
N216JB,311-37-7873
N487UA,397-20-4859
N857AA,285-83-9966
N612MQ,518-64-3179
N16987,495-86-8431
N703AS,715-71-7292
N566AS,209-67-7487
N446UA,507-11-5354
N528NK,798-87-2762
N601AW,898-30-2226
N622AS,288-35-5789
N625MQ,544-90-7912
N618JB,340-07-0097
N678DL,623-71-3973
N560SW,239-96-8885
N988DL,298-05-3802
N5CDAA,738-39-4343
N5EGAA,171-82-6467
N959SW,534-58-2592
N66814,895-62-0290
N456UA,422-15-3650
N33294,711-04-2343
N577AS,821-80-5156
N588NK,683-27-6365
N562SW,402-79-7973
N492SW,513-65-6653
N3LAAA,868-28-4992
N309AS,683-43-0165
N831UA,486-76-7494
N906FR,190-30-6857
N7707C,745-03-0922
N926FR,268-52-4620
N701BR,329-84-1531
N217JC,893-81-4416
N715SK,756-21-3351
N217AG,884-55-8999
N831AW,653-31-5976
N021AA,879-84-0265
N334JB,366-76-6806
N775JB,820-02-5115
N838UA,754-41-4377
N618MQ,507-38-3004
N808UA,179-59-3882
N6705Y,153-45-6270
N12563,665-09-4988
N427SW,136-34-7533
N13970,774-32-7567
N909DE,180-38-7659
N8312C,351-30-3155
N599JB,838-68-3613
N8616C,239-30-8375
N710EV,172-73-5334
N925MQ,800-05-9986
N206FR,834-06-9306
N206FR,220-50-9478
N708SK,493-51-8756
N66837,577-90-4012
N7745A,392-65-3641
N821JB,297-50-9542
N511MQ,450-05-7272
N8303R,266-01-0983
N471AS,667-33-4458
N275WN,807-05-4341
N323NB,132-14-7905
